uid;id_ariane;nom;num;numvoie;voie;codepost;commune;code_insee;reglement;surf_tot_m2;gestion;ann_ouvert;clos;openinghoursspecification;precision_horaires;acces;circulation;label;type_equip;eau;toilettes;chien;esp_can;photo;gid;openinghours;last_update_fme;horaires
PAR-69384-04040;S8176;Parc de la Cerisaie;4040;25;Rue Chazière;69004;Lyon;69384;oui;45862,53;Commune;;oui;"[{'opens': '8:00', 'closes': '22:00', 'dayOfWeek': ['http://schema.org/Monday', 'http://schema.org/Tuesday', 'http://schema.org/Wednesday', 'http://schema.org/Thursday', 'http://schema.org/Friday', 'http://schema.org/Saturday', 'http://schema.org/Sunday']}]";;Piéton;;oui;Aire de jeux;oui;oui;Oui;Non;0;196;"[]";;
PAR-69385-05117;S8226;Parc de la Garde;5117;2;Rue de la Garde;69005;Lyon;69385;oui;41050,02;Commune;;oui;;;Piéton;;oui;Aire de jeux-Espace Ludique;oui;oui;Oui;Oui;0;198;"[]";;
PAR-69389-59108;S8189;Square de Beer Sheva;59108;15;Rue de Beer Sheva;69009;Lyon;69389;oui;3035,25;Commune;2008;non;;;Piéton;;non;Aire de jeux;non;non;Non;Non;0;244;"[]";;
PAR-69385-05066;S8213;Parc de la mairie du 5e;5066;2;Rue Docteur Edmond Locard;69005;Lyon;69385;oui;24545,04;Commune;;oui;"[{'opens': '8:00', 'closes': '22:00', 'dayOfWeek': ['http://schema.org/Monday', 'http://schema.org/Tuesday', 'http://schema.org/Wednesday', 'http://schema.org/Thursday', 'http://schema.org/Friday', 'http://schema.org/Saturday', 'http://schema.org/Sunday']}]";;Piéton;;oui;Aire de jeux;oui;oui;Oui;Oui;0;199;"[]";;
PAR-69383-03366;S8357;Square Combet Descombes;3366;89;Rue Antoine Charial;69003;Lyon;69383;oui;213,7;Commune;;oui;;;Piéton;;non;;non;non;Oui;Non;0;239;"[]";;
PAR-69389-59124;S8224;Square Compas Raison;59124;1;Av du Plateau;69009;Lyon;69389;oui;3750,34;Commune;1997;non;;;Piéton/Vélo;;non;Fontaine;oui;non;Oui;Non;0;240;"[]";;
PAR-69387-07283;S8308;Square Cristal Plaza;7283;198;Av Jean Jaurès;69007;Lyon;69387;oui;4541,61;Commune;;oui;;;Piéton;;non;;non;non;Non;Non;0;241;"[]";;
PAR-69383-03034;S8334;Parc Georges Bazin;3034;16;Av des Acacias;69003;Lyon;69383;oui;30921,01;Commune;;oui;"[{'opens': '8:00', 'closes': '22:00', 'dayOfWeek': ['http://schema.org/Monday', 'http://schema.org/Tuesday', 'http://schema.org/Wednesday', 'http://schema.org/Thursday', 'http://schema.org/Friday', 'http://schema.org/Saturday', 'http://schema.org/Sunday']}]";;Piéton;;non;Aire de jeux;oui;oui;Oui;Oui;0;211;"[]";;
PAR-69383-03335;S8353;Parc Joseph Kaplan;3335;106;Allée du Parc;69003;Lyon;69383;oui;10114,47;Commune;;oui;"[{'opens': '8:00', 'closes': '22:00', 'dayOfWeek': ['http://schema.org/Monday', 'http://schema.org/Tuesday', 'http://schema.org/Wednesday', 'http://schema.org/Thursday', 'http://schema.org/Friday', 'http://schema.org/Saturday', 'http://schema.org/Sunday']}]";;Piéton;;non;Aire de jeux-Fontaine;oui;non;Non;Non;0;212;"[]";;
PAR-69034-036;;Square des Rondins;36;;Angle avenue Elie Vignal et rue de Margnolles;69300;Caluire-et-Cuire;69034;Oui;4725,0;Commune;;Non;;;;Piéton;Non;Aire de jeux;Non;Non;Tenus en laisse;;;511;"[]";2023-07-25 13:25:54.151091+02:00;
PAR-69384-04162;S8324;Square de la Boucle;4162;28;Montée de la Boucle;69004;Lyon;69384;oui;1039,29;Commune;;non;;;Piéton;;non;;non;non;Oui;Oui;0;245;"[]";;
PAR-69389-09161;S8307;Square de la Duchère;9161;10;Bd de la Duchère;69009;Lyon;69389;oui;3281,32;Commune;1966;non;;;Piéton;;non;Aire de jeux;non;non;Non;Non;0;246;"[]";;
PAR-69382-52032;S8416;Square place Gensoul;52032;1;Place Gensoul;69002;Lyon;69382;oui;1825,74;Commune;;oui;;;Piéton;;non;Fontaine;non;non;Non;Non;0;335;"[]";;
PAR-69385-05342;S8315;Parc de la Passerelle;5342;77;Av Barthélémy Buyer;69005;Lyon;69385;oui;10411,0;Commune;;oui;;;Piéton;;oui;;non;non;Oui;Non;0;200;"[]";;
PAR-69385-05056;S8210;Parc de la Visitation;5056;23;Rue Roger Radisson;69005;Lyon;69385;oui;22320,41;Commune;;oui;;;Piéton;;non;Aire de jeux;oui;oui;Oui;Non;0;202;"[]";;
PAR-69389-09171;S8285;Parc de Montpellas haut;9171;70;Ch de Montpellas;69009;Lyon;69389;oui;6358,1;Commune;;non;;;Piéton;;non;;non;non;Oui;Non;0;203;"[]";;
PAR-69383-03127;S8331;Square d'Aubigny;3127;16;Rue d'Aubigny;69003;Lyon;69383;oui;718,46;Commune;;oui;;;Piéton;;non;Aire de jeux;oui;non;Non;Non;0;242;"[]";;
PAR-69389-09156;S8306;Parc du Vallon;9156;12;Rue du château de la Duchère;69009;Lyon;69389;oui;114995,21;Commune;1962;non;;;Piéton/Vélo;;non;Aire de jeux-Fontaine-Espace Ludique;oui;non;Oui;Non;0;209;"[]";;
PAR-69384-04041;S8248;Parc Francis Popy;4041;33;Rue Henri Gorjus;69004;Lyon;69384;oui;17430,88;Commune;;oui;"[{'opens': '8:00', 'closes': '22:00', 'dayOfWeek': ['http://schema.org/Monday', 'http://schema.org/Tuesday', 'http://schema.org/Wednesday', 'http://schema.org/Thursday', 'http://schema.org/Friday', 'http://schema.org/Saturday', 'http://schema.org/Sunday']}]";;Piéton;;non;Aire de jeux;oui;oui;Oui;Oui;0;210;"[]";;
PAR-69389-09045;S8133;Parc Montel;9045;39;Rue du Bourbonnais;69009;Lyon;69389;oui;15107,78;Commune;;oui;"[{'opens': '8:00', 'closes': '22:00', 'dayOfWeek': ['http://schema.org/Monday', 'http://schema.org/Tuesday', 'http://schema.org/Wednesday', 'http://schema.org/Thursday', 'http://schema.org/Friday', 'http://schema.org/Saturday', 'http://schema.org/Sunday']}]";;Piéton;;oui;Aire de jeux-Fontaine;oui;non;Oui;Oui;0;215;"[]";;
PAR-69389-09038;S8276;Parc Montpellas bas;9038;1;Place Henri Barbusse;69009;Lyon;69389;oui;16502,69;Commune;;oui;;;Piéton;;non;Aire de jeux-Fontaine;oui;oui;Oui;Non;0;216;"[]";;
PAR-69387-07277;S8201;Parc Sergent Blandan;7277;37;Rue du Repos;69007;Lyon;69387;oui;166949,37;Commune;;oui;"[{'opens': '6:30', 'closes': '22:30', 'dayOfWeek': ['http://schema.org/Monday', 'http://schema.org/Tuesday', 'http://schema.org/Wednesday', 'http://schema.org/Thursday', 'http://schema.org/Friday', 'http://schema.org/Saturday', 'http://schema.org/Sunday']}]";;Piéton/Vélo;;non;Aire de jeux-Espace Ludique;oui;oui;Oui;Oui;0;218;"[]";;
PAR-69384-04200;S8186;Petit Parc Serin;4200;35;Quai Joseph Gillet;69004;Lyon;69384;oui;2713,2;Commune;;oui;;;Piéton;;non;Aire de jeux;oui;oui;Oui;Oui;0;220;"[]";;
PAR-69387-57029;S8320;Place des Docteurs Mérieux;57029;1;Place des doc Mérieux;69007;Lyon;69387;oui;20434,3;Commune;;non;;;Piéton;;non;Aire de jeux;oui;oui;Oui;Oui;0;222;"[]";;
