Identifiant;Nom;Type;Adresse;Code postal;Commune;Géolocalisation;Web;Accès transports en commun;Informations complémentaires;Gardien;Jeux pour enfants;Pataugeoire;Sanitaires;Sanitaires pour handicapés;Chiens autorisés;Jardin clos;Abris;Point d'eau;Table pique-nique
1026;Parc du Plessis Tison;Parc;1 Boulevard Jules Verne;44300;Nantes;47.23506576, -1.5361470760000202;https://nature.metropole.nantes.fr;Ligne C2 Place du cirque/ Ligne C1 Rond point de paris;;NON;;;;;;;NON;NON;
6010;Jardin de l'hôtel de Ville;Parc;2 Rue de l'Hôtel de Ville;44000;Nantes;47.218462912999996, -1.5548377360000245;https://nature.metropole.nantes.fr/;;;NON;;;;;;;NON;NON;
3213;Square Louis Bureau;Parc;Place de la Monnaie;44000;Nantes;47.213007593999976, -1.5651121710000098;https://nature.metropole.nantes.fr;Ligne C3 Copernic;;NON;;;;;;;NON;OUI;
1520;Square des Combattants d'Afrique du Nord;Parc;Rue de la Brasserie;44100;Nantes;47.20923550399999, -1.5707567439999934;https://nature.metropole.nantes.fr;René Bouhier Ligne 11;;NON;;;;;;;NON;NON;
3223;Jardin Say;Parc;Rue Désiré Colombe;44100;Nantes;47.21250045800002, -1.5684381149999922;https://nature.metropole.nantes.fr;Jean V Ligne 11;;NON;;;;;;;NON;OUI;
1514;Square Augustin Fresnel;Parc;Rue Augustin Fresnel;44300;Nantes;47.242997471000024, -1.5229314459999728;https://nature.metropole.nantes.fr;Fresnel Ligne 21 11;;NON;;;;;;;NON;NON;
4595;Parc du Petit Port;Parc;Boulevard des Tribunes;44300;Nantes;47.24550301199997, -1.558412555000018;https://nature.metropole.nantes.fr;Ligne C20 arrêt Petit Port  Ligne 26 arrêt Petit Port;;NON;;;;;;;NON;NON;
6129;Square René Cassin;Parc;Boulevard René Cassin;44300;Nantes;47.26460711599998, -1.576995452999995;;;;;;;;;;;;;
1440;Parc de Beaulieu;Parc;Cours de la Prairie d'Amont;44200;Nantes;47.212430799, -1.520734076999986;https://nature.metropole.nantes.fr;Bus 26 - arrêt Hôtel de région Bus 5 - arrêt Pompidou;;NON;;;;;;;OUI;OUI;
1517;Square Commandant Aubin;Parc;Quai du Marquis d'Aiguillon;44100;Nantes;47.201897707, -1.5768918960000065;https://nature.metropole.nantes.fr;;;NON;;;;;;;NON;NON;
